partition_id,parent_id,depth,status,dimension,facet_id,reported_count,checked_at,url,validation_error
"c0331f26-6d67-478e-ad46-c1793d314f83","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","1",20,"2026-07-22T18:49:59.995Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:1,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"32b8e9b0-c6c5-47b1-bb1b-d99c27edbc14","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","4",83,"2026-07-22T18:50:04.637Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:4,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"435f513b-158b-41b5-9954-ce7c0769775f","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","5",1,"2026-07-22T18:50:07.036Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:5,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"088887e9-037c-4f85-b9b4-172ea9b95e4d","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","6",268,"2026-07-22T18:50:09.563Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:6,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"8953ae95-5da3-42b9-8528-ffbb6058f489","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","7",12,"2026-07-22T18:50:11.963Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:7,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"ae3c54b8-73d7-4917-89bf-78cccc2a330b","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","8",31,"2026-07-22T18:50:14.473Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:8,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"55e9d2ea-3b2e-4232-b74d-d59e75563f29","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","9",46,"2026-07-22T18:50:16.836Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:9,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"eebfd5bc-803e-45d2-8b76-6673a136d707","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","10",111,"2026-07-22T18:50:19.162Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:10,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"764409ec-0220-4068-9ce4-040797c8e21d","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","11",588,"2026-07-22T18:50:21.929Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:11,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"2ef12270-2e9b-4763-821a-e09d9afe1eed","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","12",15,"2026-07-22T18:50:24.997Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:12,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"f5179950-5c10-4c28-9ca2-f4981e801b7d","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","13",11,"2026-07-22T18:50:27.368Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:13,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"df024006-dcfc-4a22-b260-e9ec1713e659","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","14",112,"2026-07-22T18:50:29.842Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:14,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"85b4e03d-70a6-4e4e-a0f6-a2354461c983","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","15",26,"2026-07-22T18:50:33.575Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:15,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"ec6a2cfe-9e3f-44b8-a85d-8667c7aeb99f","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","16",1,"2026-07-22T18:50:35.978Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:16,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"bfa4baf2-c935-4b4c-b000-a12211424185","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","17",9,"2026-07-22T18:50:38.409Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:17,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"1ce14135-d11b-4ebd-a3e7-2e448080896d","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","18",4,"2026-07-22T18:50:41.112Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:18,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"c4835213-768b-4579-a86b-276617f2ba0f","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","19",5,"2026-07-22T18:50:43.498Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:19,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"93a65030-cf15-4dec-a9d9-46759b4e601c","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","20",1,"2026-07-22T18:50:45.793Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:20,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"b9ea75b7-e1bf-453b-af9c-b09236b9cfa9","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","21",1,"2026-07-22T18:50:48.163Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:21,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
"8f275e01-54f0-4269-b016-5aade25f50bd","6ea5dd2d-aad7-456e-bcf3-854d996819ad",2,"accepted","INDUSTRY","22",1,"2026-07-22T18:50:50.554Z","https://www.linkedin.com/sales/search/people?query=(recentSearchParam:(id:5752546450,doLogHistory:true),filters:List((type:INDUSTRY,values:List((id:22,selectionType:INCLUDED))),(type:GEOGRAPHY,values:List((id:91000007,selectionType:INCLUDED))),(type:FOLLOWS_YOUR_COMPANY,values:List((id:CF,text:Following%2520your%2520company,selectionType:INCLUDED))),(type:RECENTLY_CHANGED_JOBS,values:List((id:RPC,text:Changed%2520jobs,selectionType:INCLUDED))),(type:RELATIONSHIP,values:List((id:O,text:3rd%252B%2520degree%2520connections,selectionType:INCLUDED))),(type:POSTED_ON_LINKEDIN,values:List((id:RPOL,text:Posted%2520on%2520LinkedIn,selectionType:INCLUDED)))))&sessionId=7PDP%2FfqwRIe1fIP96wVAIg%3D%3D&viewAllFilters=true",""
